address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
كمبوند التسع عمارات - مصر الجديدة - القاهرة,Apartments,4,2,150 ,12,1992,Super lux,Side Street,"1,600,000"
"El Ismailia Squarer, Heliopolis - Masr El Gedida",Apartment with Garden,2,1,126 ,Ground,1930,Super lux,Back,"1,700,000"
صن سيتي,Corporate Branch,3,3,134 ,2,2030,Extra super lux,,"8,400,000"
"Main Street, Gisr El Swis",Apartments,3,1,155 ,2,2020,Super lux,,"700,000"
"Main Street, Gisr El Swis",Apartments,2,1,80 ,7,2020,Super lux,Main Street,"200,000"
"Main Street, Gisr El Swis",Apartments,2,1,100 ,8,2020,Super lux,Main Street,"350,000"
"Ibn Sender Square, Gisr El Swis",Apartments,3,2,165 ,8,2012,Super lux,Corner,"1,600,000"
"El-Ouroba St., Sheraton",Building,,,613 ,2021,Super lux,Side Street,,"33,715,000"
"Sayed Zakaria St., Sheraton",Apartments,2,2,175 ,4,2021,Semi Finished,Main Street,"1,600,000"
7 شارع السعادة مصر الجديدة,Furnished Apartment,9,3,312 ,18,1980,Super lux,Garden,"4,000,000"
النزهة الجديدة شارع جوزيف تيتو بجوار شركة بتروجيت عمارة سوبر ماركت خير زمان,Furnished Apartment,3,2,205 ,3,2010,Super lux,Main Street,"2,950,000"
"Morabaa El Wozaraa, Masakn Sheraton",Apartment with Garden,3,2,190 ,1,2021,Super lux,Side Street,"2,450,000"
"Saqr Korayesh, Masakn Sheraton",Apartments,3,1,111 ,3,2021,Super lux,Side Street,"1,050,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,1,120 ,2,2020,Semi Finished,Main Street,"380,000"
Oriental Weavers,Furnished Apartment,3,3,184 ,2,1996,Super lux,,"3,200,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,3,2,190 ,3,1989,Super lux,Garden,"2,400,000"
"El-Nasr Rd St., Sheraton",Apartments,3,2,120 ,1,2021,Super lux,Side Street,"1,250,000"
"Gamal Abd El Nasser, Madinat El Salam",Apartments,3,2,125 ,10,2009,Lux,Side Street,"450,000"
"Morabaa El Wozaraa, Masakn Sheraton",Apartments,3,3,195 ,7,2021,Extra super lux,Side Street,"2,250,000"
شارع المرغني - مصر الجديدة,Villas,4,3,330 ,2008,Semi Finished,Main Street,,"3,500,000"
"Main Street, Gisr El Swis",Apartments,3,1,140 ,7,2020,Super lux,,"330,000"
"Main Street, Gisr El Swis",Apartments,3,3,165 ,2,2020,Super lux,Main Street,"850,000"
"Abd Al Hamid Abou Hief St., Heliopolis Square",Apartments,2,1,80 ,1,1965,Semi Finished,Side Street,"1,000,000"
"Madinat El Herafeyen, Gisr El Swis",Stores,,,100 ,Lux,Side Street,,,"390,000"
"Main Street, Gisr El Swis",Stores,,,34 ,Super lux,Main Street,,,"1,360,000"
"Abou Bakr El-Sedeek St., Almaza",Apartments,4,3,300 ,4,2020,Semi Finished,Main Street,"3,850,000"
"Saqr Korayesh, Masakn Sheraton",Apartments,3,1,150 ,2,2021,Extra super lux,Garden,"1,750,000"
"Main Street, Gisr El Swis",Apartments,3,1,150 ,3,2020,Super lux,Main Street,"460,000"
"Taha Huseen, New Nozha",Full Floor,5,2,300 ,4,2000,Extra super lux,Side Street,"2,250,000"
"New Nozha, New Nozha",Stores,,,75 ,Extra super lux,Side Street,,,"980,000"
"Main Street, Gisr El Swis",Apartments,2,1,150 ,7,2020,Super lux,Main Street,"550,000"
"Abd El-Hameed Badawi St., Sheraton",Apartments,3,3,248 ,1,2020,Semi Finished,Garden,"3,650,000"
"Qibaa City, Gisr El Swis",Apartments,3,1,140 ,8,2020,Super lux,,"690,000"
"Main Street, Gisr El Swis",Apartments,3,1,136 ,2,2020,Semi Finished,Main Street,"300,000"
"Main Street, Gisr El Swis",Apartments,3,1,100  ,5,2020,Super lux,Main Street,"550,000"
"Main Street, Gisr El Swis",Apartments,3,1,145 ,6,2020,Super lux,Main Street,"1,500,000"
"Main Street, Gisr El Swis",Apartments,3,2,200 ,4,2020,Lux,Main Street,"790,000"
"El Khamseen St., Gisr El Swis",Apartments,3,2,150 ,7,2020,Semi Finished,Main Street,"330,000"
"Sid Anbar St, Ard El Golf",Building,,,375 ,1993,Super lux,Side Street,,"7,500,000"
"Main Street, Gisr El Swis",Apartments,2,1,90 ,1,1990,Lux,Garden,"475,000"
"Nabil El Wakkad, Ard El Golf",Apartments,7,2,175 ,2,1980,Super lux,Side Street,"1,750,000"
شارع أبو بكر الصديق من ميدان سفير أو من صلاح سالم مصر الجديدة,Apartments,4,3,265 ,6,2030,Semi Finished,Main Street,"3,200,000"
"New Nozha, New Nozha",Apartments,3,2,140 ,10,2021,Super lux,Corner,"300,000"
"El-Nasr Rd St., Sheraton",Apartments,3,2,140 ,7,2021,Super lux,Main Street,"1,000,400"
"New Nozha, New Nozha",Apartments,2,1,135  ,2,2021,Extra super lux,Side Street,"650,000"
"New Nozha, New Nozha",Apartments,3,1,120 ,12,2021,Without Finish,Side Street,"210,000"
"Kamal Hassan Ali St., Sheraton",Furnished Apartment,3,1,150 ,3,1990,Super lux,Main Street,"2,550,000"
"Abou Bakr El-Sedeek St., Almaza",Corporate Branch,1,1,1500 ,1,2019,Without Finish,Main Street,"95,000,000"
شيراتون المطار,Apartments,3,1,140 ,4,1990,Super lux,Garden,"1,700,000"
"Main Street, Gisr El Swis",Apartments,2,1,100 ,5,2020,Super lux,Main Street,"380,000"
النزهه الجديدة شارع جوزيف تيتو بجوار شركه بتروجيت فوق سوبر ماركت خير زمان,Furnished Apartment,3,2,205 ,3,2009,Super lux,Main Street,"2,950,000"
21 Farid Heliopolis,Apartments,3,4,275 ,5,2020,Super lux,Other,"4,250,000"
"Main Street, Gisr El Swis",Apartments,3,2,150 ,10,2020,Super lux,Main Street,"420,000"
"Gisr Elswis Elgedidah, Gisr El Swis",Apartments,2,2,140 ,3,2021,Super lux,,"700,000"
"Main Street, Gisr El Swis",Apartments,3,1,150 ,1,2020,Super lux,Main Street,"870,000"
"New Nozha, New Nozha",Apartments,3,2,150 ,2,2021,Extra super lux,Side Street,"950,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,1,140 ,3,1980,Super lux,Main Street,"1,150,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,2,1,100 ,Ground,2020,Super lux,Main Street,"650,000"
"Main Street, Gisr El Swis",Apartments,6,3,440 ,9,2020,Super lux,Main Street,"4,000,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,1,150 ,4,2020,Super lux,,"1,200,000"
Horeya street,Apartments,3,1,140 ,1,2030,Super lux,Side Street,"2,100,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,3,2,145 ,14,1989,Super lux,Side Street,"1,100,000"
"Al Rahala Al Boughdadi St., Ard El Golf",Apartments,3,2,139 ,2,1988,Super lux,Garden,"1,690,000"
