address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Mohamed Youssef Moussa,Elmanteqa eloula",Apartments,2,1,120 ,4,Super lux,Main Street,,"1,300,000"
"Ahmed Mokhtar St., 8th Zone",Apartments,3,2,135 ,3,2017,Without Finish,Other,"1,200,000"
"Abou Dawoud El Zaheri, Nasr City",Offices,1,1,66 ,3,2021,Super lux,Main Street,"1,978,000"
"Abou Dawoud El Zaheri, Nasr City",Offices,1,1,113 ,3,2021,Super lux,Main Street,"2,373,000"
"Tawfiq City, Nasr City",Apartments,2,1,70 ,1,1993,Without Finish,,"500,000"
"Mohammed Tawfik Wahba St., El Manteqah El Sadsa",Apartments,3,2,210 ,5,2004,Super lux,Side Street,"2,000,000"
"Al Batrawi St., 1st Zone",Apartments,3,2,135 ,4,2012,Super lux,Side Street,"1,900,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,2,105 ,3,2021,Semi Finished,Side Street,"550,000"
"Degla Towers, Compounds in Nasr City",Apartments,2,2,118 ,7,2018,Without Finish,Garden,"800,000"
"Compounds In Nasr city, Compounds in Nasr City",Apartments,3,2,148 ,3,2021,Semi Finished,Garden,"2,200,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,2,190 ,3,2020,Without Finish,Pool,"1,550,000"
"Mohamed Al Maqrif St., Eighth District",Apartments,3,3,250 ,2,1989,Super lux,Garden,"2,000,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,1,80 ,4,2021,Semi Finished,Corner,"420,000"
"Nagy Nasr St., 10th Zone",Apartments,4,3,245 ,9,2019,Without Finish,Main Street,"2,600,000"
"Mohamed Al Maqrif St., Eighth District",Apartments,3,3,250 ,2,1989,Super lux,Garden,"2,000,000"
"Abd Al Motgali St., 9th Zone",Apartments,3,2,150 ,4,2015,Semi Finished,Side Street,"1,080,000"
"Ali El-Gendy St., El Manteqah El Sadsa",Apartments,3,3,220 ,1,2023,Super lux,Side Street,"1,750,000"
"Abd Al Motgali St., 9th Zone",Apartments,3,2,165 ,4,2017,Semi Finished,Side Street,"1,180,000"
"Mostafa El-Nahaas St., Eighth District",Apartments,4,2,320 ,9,2014,Without Finish,Main Street,"3,250,000"
طريق النصر اول مكرم,Apartments,3,2,256 ,4,2018,Super lux,Main Street,"4,150,000"
"Makram Ebeid, Nasr City",Apartments,4,3,240 ,4,2000,Extra super lux,Main Street,"2,250,000"
"Abd Al Motgali St., 9th Zone",Apartments,3,2,175 ,5,2012,Semi Finished,Side Street,"1,280,000"
"Hossam El-Deen Basiouny St., 9th Zone",Apartments,3,2,195 ,5,2020,Without Finish,Main Street,"1,650,000"
"Al Sheikh Mohammed Al Nadi St., El Manteqah El Sadsa",Apartments,3,3,175 ,3,2012,Semi Finished,Main Street,"1,600,000"
"El-Shaikh Ahmed El-Sawy St., El Manteqah El Sadsa",Apartments,3,2,165 ,3,2017,Without Finish,Other,"1,500,000"
"Moustafa El Nahaas / Ali Amin, Nasr City",Apartments,3,3,230 ,5,2012,Semi Finished,Other,"1,200,000"
"Dr Ibrahim Nagy St., 9th Zone",Apartments,3,2,150 ,9,2019,Without Finish,Side Street,"900,000"
"Ibrahim Shehata St, 9th Zone",Apartments,3,2,150 ,6,2011,Without Finish,Main Street,"800,000"
"Ibrahim Shehata St, 9th Zone",Apartments,3,2,150 ,6,2010,Without Finish,Main Street,"750,000"
"Mohyee Al Din Abd Al Al Hamid St., 8th Zone",Apartments,3,2,140 ,9,2012,Semi Finished,Main Street,"900,000"
"Dr Ibrahim Nagy St., 9th Zone",Apartments,3,2,170 ,9,2018,Without Finish,Side Street,"900,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,1,80 ,4,2021,Semi Finished,Corner,"420,000"
"Ibrahim Shehata St, 9th Zone",Apartments,3,2,150 ,6,2012,Without Finish,,"800,000"
"Mohamed Hassanein Heikal, Nasr City",Apartments,3,2,200 ,11,2004,Super lux,,"2,000,000"
"Makram Ebeid, Nasr City",Apartments,3,3,260 ,6,2020,Semi Finished,Main Street,"2,650,000"
"Kabol St., El Manteqah El Sadsa",Apartments,3,2,240 ,4,2017,Without Finish,Other,"2,400,000"
"Hafez Ramadan St., El Manteqah El Sadsa",Apartments,3,1,160 ,2,2014,Lux,Other,"1,300,000"
"El-Shaikh Ahmed El-Sawy St., El Manteqah El Sadsa",Apartments,3,3,175 ,3,2013,Without Finish,Other,"1,600,000"
"Dr Ibrahim Nagy St., 9th Zone",Apartments,3,2,170 ,9,2019,Without Finish,Other,"900,000"
