address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
El Shorouk City,Apartments,3,2,217 ,1,2022,Semi Finished,Main Street,"2,646,478"
El Shorouk City,Town House,3,3,245 ,2030,Extra super lux,Pool,,"4,870,600"
El Shorouk City,Apartments,3,3,207 ,1,2024,Lux,Main Street,"2,133,000"
New Heliopolis,Apartment with Garden,3,2,160 ,Ground,2030,Semi Finished,Main Street,"2,501,000"
New Heliopolis,Apartments,3,1,161 ,2,2023,Semi Finished,Main Street,"2,453,000"
El Shorouk City,Penthouse,3,2,302 ,1,2021,Extra super lux,Main Street,"4,053,500"
New Heliopolis,Apartments,3,1,158 ,4,2023,Semi Finished,Main Street,"3,104,000"
ElShorok,Apartments,3,2,250 ,4,2020,Without Finish,Main Street,"3,375,000"
El Shorouk City,Penthouse,3,1,300 ,3,2021,Extra super lux,Main Street,"3,723,000"
El Shorouk City,Stores,,,29 ,Extra super lux,Main Street,,,"2,649,527"
El Shorouk City,Penthouse,3,3,399 ,3,2022,Semi Finished,Back,"3,920,403"
El Shorouk City,Villas,3,3,405 ,2030,Extra super lux,Pool,,"8,051,400"
ElShorok,Apartments,3,2,158 ,3,2020,Semi Finished,Main Street,"2,176,000"
El Shorouk City,Penthouse,3,3,335 ,3,2022,Semi Finished,Back,"2,943,425"
New Cairo,Clinics,1,1,45 ,2,2018,Lux,Main Street,"1,800,000"
"El Shorouk Springs, Compounds in Elshorouk City",Apartments,3,2,160 ,2,Semi Finished,,,"800,000"
El Shorouk City,Penthouse,3,3,330 ,3,2022,Semi Finished,Main Street,"3,575,336"
New Heliopolis,Separate Villa,4,2,246 ,2030,Semi Finished,Main Street,,"7,701,000"
New Heliopolis,Apartments,4,1,179 ,4,2023,Semi Finished,Main Street,"2,673,000"
El Sherouk,Villas,5,4,309 ,2025,Extra super lux,Main Street,,"3,750,000"
New Heliopolis,Apartments,3,1,163 ,3,2023,Semi Finished,Main Street,"2,418,000"
New Heliopolis,Town House,4,2,208 ,2023,Semi Finished,Main Street,,"5,777,000"
New Heliopolis,Apartment with Garden,3,1,159 ,Ground,2023,Semi Finished,Main Street,"4,573,000"
El Shorouk City,Penthouse,3,3,399 ,3,2022,Semi Finished,Main Street,"3,803,080"
New Heliopolis,Apartments,3,1,162 ,3,2023,Semi Finished,Main Street,"3,169,000"
New Heliopolis,Apartments,3,1,165 ,2,2023,Semi Finished,Main Street,"2,441,000"
"Neighbourhood 2, Hai Gardinia - Fourth Zone",Apartments,3,2,165 ,3,2016,Semi Finished,Back,"650,000"
El Shorouk City,Apartments,3,3,178 ,1,2022,Semi Finished,Main Street,"2,580,450"
New Heliopolis,Apartments,5,2,213 ,2,2023,Semi Finished,Main Street,"5,454,000"
El Shorouk City,Apartments,3,2,189 ,3,2030,Extra super lux,Main Street,"2,072,385"
"Granda Alshrouk Compound - Egygab, Compounds in Elshorouk City",Apartment with Garden,3,3,205 ,Ground,2025,Semi Finished,,"2,700,000"
El Shorouk City,Penthouse,3,3,311 ,3,2022,Semi Finished,Back,"3,007,363"
"مدينة الشروق, Greater Cairo",Apartment with Garden,3,2,175 ,1,2021,Semi Finished,Garden,"900,000"
El Shorouk City,Twin House,3,3,300 ,2030,Extra super lux,Pool,,"5,964,000"
El Shorouk City,Apartments,3,2,176 ,2,2030,Extra super lux,Main Street,"1,929,840"
New Heliopolis,Apartments,4,1,179 ,2,2023,Semi Finished,Main Street,"3,993,000"
New Heliopolis,Apartments,2,1,161 ,4,2023,Semi Finished,Main Street,"3,121,000"
"Compounds In El Shorouk City, Compounds in Elshorouk City",Land,,,525 ,Main Street,,,,"4,000,000"
New Heliopolis,Apartments,4,1,182 ,3,2023,Semi Finished,Main Street,"3,508,000"
New Heliopolis,Apartments,4,1,180 ,2,2023,Semi Finished,Main Street,"4,650,000"
ElShorok,Apartments,2,2,123 ,4,2020,Semi Finished,Main Street,"1,907,000"
New Heliopolis,Separate Villa,5,2,251 ,2023,Semi Finished,Main Street,,"8,308,000"
New Cairo,Clinics,1,1,50 ,Ground,2018,Lux,Main Street,"2,000,000"
New Heliopolis,Apartments,4,1,181 ,3,2023,Semi Finished,Main Street,"3,630,000"
"Neighbourhood 1, Hai El Banafsg - Ninth Zone",Apartments,3,3,175 ,2,2021,Semi Finished,Garden,"850,000"
El Shorouk City,Duplex,4,3,445 ,4,2030,Extra super lux,Main Street,"4,126,570"
New Heliopolis,Town House,5,2,234 ,2023,Extra super lux,Main Street,,"5,673,000"
مدينة الشروق حى نادى هليوبلس,Apartment with Garden ,3,3,185 ,2,2021,Semi Finished,Garden,"1,407,000"
El Shorouk City,Duplex,3,2,434 ,2,2030,Extra super lux,Main Street,"3,709,460"
"Neighbourhood 4, Hai El-Morgan - Fourth Neighborhood",Apartments,3,3,235 ,1,2021,Semi Finished,Other,"1,360,000"
El Shorouk City,Penthouse,3,3,385 ,3,2022,Semi Finished,Main Street,"3,785,778"
"Patio 5 , el Sherouk",Twin House,4,4,263 ,Semi Finished,Pool,,,"4,500,000"
"Compounds In El Shorouk City, Compounds in Elshorouk City",Apartments,3,3,135 ,3,2021,Extra super lux,Garden,"2,400,000"
El Shorouk City,Penthouse,3,3,399 ,3,2022,Semi Finished,Main Street,"3,964,894"
"Neighbourhood 2, Hai El Yassmin - Eighth Zone",Duplex,4,3,231 ,Ground,2020,Super lux,Other,"1,837,000"
New Heliopolis,Apartment with Garden,3,1,162 ,Ground,2023,Semi Finished,Main Street,"3,124,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,2,154 ,1,2020,Semi Finished,Main Street,"1,619,000"
El Shorouk City,Town House,3,3,276 ,2024,Lux,Main Street,,"4,300,000"
"Neighbourhood 2, Hai Tulip - Sixth Zone",Duplex,3,4,230 ,Ground,2021,Semi Finished,Main Street,"1,080,000"
"Neighbourhood 2, Hai Tulip - Sixth Zone",Apartments,3,2,165 ,1,2013,Super lux,Main Street,"750,000"
مدينة الشروق/مدينة الشروق,Separate Villa,5,4,445 ,2018,Super lux,,,"5,200,000"
"Neighborhood 1, Hai Ghernata - Second Neighborhood - East",Apartment with Garden,2,1,95 ,Ground,2021,Semi Finished,Main Street,"744,000"
"Neighbourhood 3, Hai El Fayrouz - Third Neighborhood West",Apartments,3,3,171 ,3,2010,Semi Finished,Other,"1,350,000"
"مدينة الشروق, Greater Cairo",Apartment with Garden,3,2,175 ,1,2021,Semi Finished,Garden,"870,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,2,2,160 ,1,2020,Semi Finished,Garden,"1,600,000"
divina gardens,Twin House,4,4,300 ,2020,Semi Finished,Garden,,"4,060,000"
"Neighbourhood 1, Hai El Nargs - Fifth Zone",Penthouse,3,4,227 ,3,2018,Semi Finished,Main Street,"922,500"
"Cleopatra Palace Compound - Cleopatra, Compounds in Elshorouk City",Town House,4,3,255 ,2021,Super lux,,,"4,816,779"
"Neighbourhood 2, Hai El Zohour - Second Zone",Apartments,3,1,147 ,1,2021,Semi Finished,Back,"705,000"
"SODIC East, Compounds in New Heliopolis",Apartments,3,3,182 ,3,2020,Extra super lux,Garden,"2,650,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,2, 134 ,3,2020,Semi Finished,Main Street,"1,367,000"
"Compounds In El Shorouk City, Compounds in Elshorouk City",Town House,3,4,200 ,2021,Without Finish,Garden,,"4,150,000"
patio casa,Apartments,4,3,275 ,Ground,2020,Semi Finished,Garden,"2,775,000"
Granda Al shourouk Compound,Penthouse,4,3,338 ,2,2017,Semi Finished,Garden,"4,000,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Apartment with Garden,3,3,182 ,3,2020,Semi Finished,Garden,"2,790,000"
"Neighbourhood 6, Hai El Banafsg - Ninth Zone",Apartments,3,2,135 ,Ground,2020,Super lux,Other,"750,000"
"Neighbourhood 2, Hai El Brillant - Ninth Neighborhood",Villas,3,3,400 ,1999,Super lux,Side Street,,"4,200,000"
"SODIC East, Compounds in New Heliopolis",Separate Villa,6,3,330 ,2020,Semi Finished,Garden,,"8,200,000"
"مدينة الشروق, Greater Cairo",Furnished Apartment,2,1,63 ,1,2005,Lux,Garden,"311,000"
"مدينة الشروق, Greater Cairo",Duplex,3,2,259 ,1,Semi Finished,Side Street,,"1,450,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,2,146 ,1,2022,Semi Finished,Main Street,"1,517,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,2,138 ,1,2020,Semi Finished,Main Street,"1,417,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,2,2,103 ,Ground,2020,Semi Finished,Garden,"1,100,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Apartments,3,3,215 ,3,2020,Semi Finished,Garden,"2,400,000"
"Paradise, Compounds in Elshorouk City",Twin House,4,4,340 ,2014,Extra super lux,Corner,,"7,500,000"
New Cairo,Twin House,4,4,245 ,2020,Semi Finished,Garden,,"4,000,000"
New Cairo,Town House,4,4,234 ,2020,Semi Finished,Garden,,"4,000,000"
el sherook,Twin House,4,4,315 ,Super lux,Garden,,,"4,650,000"
مسجد عباد الرحمن,Apartments,4,3,205 ,1,2018,Semi Finished,,"910,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,2,150 ,1,2020,Semi Finished,Main Street,"1,560,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Apartment with Garden,3,1,132 ,Ground,2024,Without Finish,Garden,"2,330,310"
"Neighbourhood 2, Hai Tulip - Sixth Zone",Apartments,3,2,165  ,1,2010,Semi Finished,Corner,"750,000"
Hai Marbaila - Third Neighborhood East/Neighbourhood 2,Apartment with Garden,3,3,176 ,2016,Super lux,,,"1,550,000"
"Neighbourhood 4, Hai Gardinia - Fourth Zone",Apartments,2,1,100 ,Ground,2018,Semi Finished,Back,"440,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Apartments,3,2,155 ,2,2024,Without Finish,Main Street,"1,911,204"
"Neighbourhood 11, Hai Marbaila - Third Neighborhood East",Apartment with Garden,3,3,205 ,Ground,2022,Semi Finished,Main Street,"1,271,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Separate Villa,3,6,438 ,2021,Super lux,,,"11,556,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Duplex,3,2,175 ,2,Super lux,Main Street,,"3,700,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Villas,4,3,340 ,2019,Extra super lux,Golf,,"8,000,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Town House,3,4,245 ,2021,Super lux,,,"3,600,000"
مدينة الشروق كمبوند ضاحية النخيل,Separate Villa,5,4,570 ,2017,Super lux,,,"15,000,000"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Duplex,3,4,276 ,2,2021,Super lux,,"3,028,213"
"Alborouj Compound - Imkan Misr, Compounds in Elshorouk City",Duplex,3,3,176 ,Ground,2021,Super lux,,"2,950,000"
New Cairo,Apartments,3,3,160 ,3,2020,Super lux,Garden,"1,650,000"
"Neighbourhood 1, Hai El Fayrouz - Third Neighborhood West",Apartments,3,3,210 ,2,2020,Semi Finished,Main Street,"1,200,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Apartments,3,2,160 ,2,2024,Without Finish,Main Street,"1,964,948"
"Neighbourhood 1, Hai Tulip - Sixth Zone",Apartments,3,1,130 ,3,Semi Finished,Back,,"585,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Penthouse,3,2,194 ,3,2024,Without Finish,Main Street,"2,770,095"
"Granda Alshrouk Compound - Egygab, Compounds in Elshorouk City",Duplex,5,4,402 ,Ground,2020,Semi Finished,Garden,"3,950,000"
"Neighbourhood 2, Hai Tulip - Sixth Zone",Apartments,3,2,147 ,2,2020,Without Finish,Back,"530,000"
Shorouk,Separate Villa,4,5,750 ,2006,Super lux,Main Street,,"7,500,000"
"Investment Housing, El Shorouk",Apartments,3,3,185 ,3,Semi Finished,Garden,,"950,000"
"Neighbourhood 1, Hai Tulip - Sixth Zone",Apartments,3,3,165 ,1,2017,Semi Finished,Garden,"810,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Town House,4,3,245 ,2021,Without Finish,Main Street,,"5,552,554"
"Other, Compounds in Elshorouk City",Separate Villa,6,6,700 ,2017,Super lux,,,"7,000,000"
"Granda Life Compound - Egygab, Compounds in Elshorouk City",Penthouse,4,3,228 ,3,2023,Without Finish,Main Street,"3,103,999"
"Neighbourhood 3, Hai El Zohour - Second Zone",Apartment with Garden,3,3,205 ,1,2019,Semi Finished,Garden,"1,000,000"
"Neighbourhood 1, Hai El Nargs - Fifth Zone",Penthouse,4,3,203 ,3,2018,Semi Finished,Main Street,"860,000"
Gannet El Sherouk Compound - El Rabwa St.,Separate Villa,8,5,650 ,2020,Super lux,Other,,"8,300,000"
تاون هاوس كورنر سوبر لوكس – كمبوند الشروق جاردنز – مدينة الشروق مساحة الارض 274م – مباني 230م ارضي: ريسبشن 3 قطع – مطبخ – حمام اول: 3 نوم (ماستر – دريسنج روم) – 2 حمام – ليفنج روم روف: غرفة بحمام و الباقي تراس مفتوح تشطيب سوبر لوكس – خالصة ليس عليها اي مستحقات وديعة الصيانة مدفوعة رسوم التنازل 60 الف جم مطلوب 2 مليون و 600 الف كاش ء,Town House,4,4,230 ,2019,Super lux,,,"2,600,000"
"Neighbourhood 1, Ninth Neighborhood",Apartment with Garden,3,3,175 ,Ground,2017,Super lux,Garden,"1,225,000"
مجاورة رابعة - منطقة رابعة عمارات (حي جاردينيا حالياً) خلف معادي فيو,Duplex,3,3,220 ,Ground,2012,Semi Finished,Back,"1,260,000"
المنطقة الخامسة الاسكان المتميز,Apartments,2,1,95 ,5,2000,Lux,Main Street,"400,000"
"Vivens Compound, Compounds in Elshorouk City",Villas,7,7,361 ,2030,Semi Finished,Garden,,"8,900,000"
"Cleopatra Palace Compound - Cleopatra, Compounds in Elshorouk City",Apartments,3,2,205 ,1,2019,super_lux,Main Street,"1,900,000"
https://goo.gl/maps/bmPCLFDqKWL2,Duplex,4,3,270 ,2,2017,Semi Finished,Main Street,"950,000"
"Daheyet El Nakheel, Compounds in Elshorouk City",Separate Villa,3,4,300 ,2010,Super lux,,,"4,500,000"
"El Patio Casa Compound - LA Vista Developments, Compounds in Elshorouk City",Penthouse,4,3,330 ,3,2021,Semi Finished,Main Street,"2,350,000"
sodic east,Apartments,4,4,245 ,2,Super lux,Garden,,"5,111,000"
"Neighbourhood 1, Hai El Banafsg - Ninth Zone",Apartments,3,2,252 ,3,2020,Super lux,Main Street,"1,680,000"
"Investment Housing, El Shorouk",Apartments,2,1,92 ,Ground,2020,Super lux,Garden,"707,000"
"Neighbourhood 2, Hai El Nargs - Fifth Zone",Apartments,3,2,130 ,2,2020,Semi Finished,Back,"520,000"
امام مدينتي,Apartments,3,2,205 ,1,2020,Super lux,,"1,850,000"
"Town Center Mall - Al Watania Real Estate, Compounds in Elshorouk City",Clinics,2,1,64 ,2,2020,Super lux,Main Street,"1,700,000"
"مدينة الشروق, Greater Cairo",Building,12,12,260 ,Without Finish,Main Street,,,"2,850,000"
"Hai El Aqiiq - El Nady District, El Shorouk",Apartments,3,3,200 ,1,2020,Semi Finished,Garden,"1,470,000"
"Wadi El Rabea, Compounds in Elshorouk City",Apartments,2,2,144 ,2,2020,Semi Finished,Garden,"1,050,000"
"Dar Misr, Compounds in Elshorouk City",Apartments,3,3,150 ,Ground,Super lux,Garden,,"1,193,000"
