address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"10th of Ramadan, Greater Cairo",Apartments,2,1,65 ,Ground,2010,Lux,Corner,"195,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,11750 ,Corner,,,,"14,100,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,1224 ,Main Street,,,,"3,700,000"
"10th of Ramadan, Greater Cairo",Factory,,,2500 ,2003,Main Street,,,"6,250,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Main Street,,,,"5,000,000"
القاهرة الكبرى/العاشر من رمضان,Factory,,,4000 ,2010,Main Street,,,"18,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,70 ,1,2021,Super lux,Side Street,"325,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,145 ,3,2021,Super lux,Side Street,"725,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Main Street,,,,"3,250,000"
القاهرة الكبرى/العاشر من رمضان,Industrial Land,,,15000 ,Main Street,,,,"27,750,000"
"10th of Ramadan, Greater Cairo",Villas,4,4,324 ,2018,Extra super lux,Garden,,"3,000,000"
القاهرة الكبرى/العاشر من رمضان,Industrial Land,,,12800 ,Main Street,,,,"20,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,92 ,3,2000,Lux,Main Street,"260,000"
بجوار مصنع فل و شركه قوطه للحديد والطلب و مكرونه الملكه,Factory ,,,6200 ,Corner,,,,"1,650,000"
القاهرة الكبرى/العاشر من رمضان,Land,,,702 ,Main Street,,,,"3,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,2,120 ,2,2012,Super lux,Corner,"550,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,80 ,2,,,,"280,000"
القاهرة الكبرى/العاشر من رمضان,Land,,,2700 ,Main Street,,,,"4,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,104 ,2,,,,"700,000"
الحي اليوناني,Apartments,3,2,135 ,1,2020,Semi Finished,Garden,"506,250"
"10th of Ramadan, Greater Cairo",Farm,,,21000 ,Main Street,,,,"6,000,000"
القاهرة الكبرى/العاشر من رمضان,Factory,,,700 ,2018,,,,"1,500,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,702 ,Main Street,,,,"3,500,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,65 ,2,,,,"135,000"
الحي اليوناني,Apartments,3,2,135 ,2,2020,Semi Finished,Garden,"455,625"
"10th of Ramadan, Greater Cairo",Apartments,2,1,63 ,3,2010,Lux,Main Street,"140,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,100 ,2,2021,Super lux,Side Street,"360,000"
الحي اليوناني,Apartment with Garden,3,2,230 ,2020,Semi Finished,Garden,,"522,500"
