address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Bis No.8 St., Hadayek El Ahram",Cafe,,,370 ,Super lux,,,,"3,500,000"
"Area G, Hadayek El Ahram",Apartments,3,2,170 ,3,2017,Super lux,Corner,"715,000"
"Street 9, Hadayek El Ahram",Apartments,3,2,124 ,4,2021,Super lux,,"540,000"
"بالقرب من أخر شارع الهرم الرئيسي,خلف مطعم خريستو,وبنزينة موبيل علي شارع روضة الأهرام",Duplex,6,3,470 ,4,2005,Super lux,Garden,"2,500,000"
حدائق الأهرام,Duplex,3,3,340 ,1,2030,Super lux,Garden,"1,800,000"
Hadayek El ahram - Giza,Apartments,3,2,170 ,1,2012,Extra super lux,Side Street,"950,000"
"Area G, Hadayek El Ahram",Apartments,3,2,170 ,3,2020,Super lux,Side Street,"695,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,160 ,1,2021,Super lux,,"600,000"
"Bis No.8 St., Hadayek El Ahram",Stores,,,110 ,Super lux,Side Street,,,"1,100,000"
"Area M, Hadayek El Ahram",Apartments,3,2,170 ,5,Semi Finished,Main Street,,"620,000"
"Area Z, Hadayek El Ahram",Apartments,2,1,124 ,3,2015,Extra super lux,Main Street,"580,000"
"Street 3, Hadayek El Ahram",Building,,,300 ,Semi Finished,Garden,,,"6,500,000"
"Area N, Hadayek El Ahram",Apartments,3,1,150 ,2,2011,Super lux,Side Street,"750,000"
"Area N, Hadayek El Ahram",Apartments,3,3,180 ,4,2010,Super lux,Side Street,"1,100,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,130 ,2,2021,Super lux,Side Street,"570,000"
"Area Z, Hadayek El Ahram",Apartments,2,1,111 ,2,2013,Semi Finished,Side Street,"460,000"
"Area Z, Hadayek El Ahram",Duplex,3,3,285 ,1,2012,Semi Finished,Side Street,"1,030,000"
"Bis No.8 St., Hadayek El Ahram",Apartments,3,2,260 ,1,2021,Super lux,Side Street,"1,100,000"
"Bis No.8 St., Hadayek El Ahram",Villas,5,4,800 ,Ground,2021,Super lux,Side Street,"4,500,000"
"El-Gaish St., Hadayek El Ahram",Apartments,3,2,175 ,4,2021,Super lux,Side Street,"815,000"
"Area W, Hadayek El Ahram",Apartments,3,2,185 ,2,2021,Super lux,Side Street,"950,000"
