address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
Galleria Moon Vally,Apartments,3,2,157 ,2,2020,Without Finish,Side Street,"1,700,000"
"Fifth Neighborhood, Bait El Watan",Apartments,2,1,149 ,3,2023,Semi Finished,Main Street,"965,000"
"District 300, Northern Expansions",Apartments,3,1,144 ,2,2020,Without Finish,Side Street,"630,000"
"Neighborhood 9th, El Ahyaa",Apartments,3,3,172 ,3,2022,Semi Finished,Main Street,"1,367,400"
6 October city,Apartment with Garden,3,3,170 ,Ground,2021,Super lux,Main Street,"2,430,620"
New Cairo,Apartment with Garden,3,3,150 ,Ground,2024,Extra super lux,Main Street,"3,000,000"
New Administrative Capital,Apartments,3,2,140 ,Ground,2022,Lux,Main Street,"2,100,000"
El Shorouk City,Apartment with Garden,4,4,330 ,Ground,2020,Semi Finished,Main Street,"4,060,000"
6th of October,Apartments,3,2,158 ,1,2024,Extra super lux,Main Street,"2,519,825"
"Central Business District, New Administrative Capital",Studio,1,1,45 ,11,Super lux,Main Street,,"1,200,000"
Mountain view hyde park,Duplex,4,3,380 ,3,2017,Without Finish,Pool,"4,300,000"
"1st District, El Hadabah El Wosta",Apartment with Garden,2,2,115 ,Ground,2019,Semi Finished,Side Street,"609,500"
"Fifth Neighborhood, Bait El Watan",Duplex,2,1,270 ,2,2023,Semi Finished,Main Street,"1,660,000"
"Mountain View iCity October, Compounds in 6 October",Apartments,2,2,110 ,2,2020,Semi Finished,Garden,"1,850,000"
6 October,Apartments,2,3,187 ,1,2021,Extra super lux,Main Street,"1,700,000"
"El Yasmeen 1, El Yasmeen",Apartments,5,3,245 ,Ground,2021,Semi Finished,Side Street,"2,450,000"
"Bait El Watan Ninth Neighborhood, 6th of October",Apartments,3,3,172 ,2,2022,Semi Finished,Main Street,"1,341,600"
6th of October,Apartments,3,3,215 ,2,2021,Without Finish,Main Street,"5,431,299"
شقتك من اسكاي ابوظبي العاصمة الادارية علي الممشي السياحي و الحديقة المركزية,Apartments,3,3,190 ,4,Semi Finished,Garden,,"2,165,000"
October Gardens,Penthouse,3,1,110 ,5,2024,Super lux,Garden,"1,309,000"
