address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Eighth Neighborhood, Zahraa El Maadi",Apartments,3,1,160 ,Ground,2020,Semi Finished,Main Street,"1,040,000"
"Zahraa El Maadi St, Zahraa El Maadi",Full Floor Administrative,20,7,750 ,8,2019,Extra super lux,Main Street,"13,000,000"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,3,2,135 ,2,2009,Super lux,Main Street,"1,400,000"
"Jodran, Compounds in Maadi",Apartments,3,2,132 ,4,2021,Semi Finished,Garden,"1,501,770"
"Thirteenth Neighborhood, Zahraa El Maadi",Apartments,2,1,135 ,9,2016,Super lux,Garden,"1,200,000"
"Tenth Neighborhood, Zahraa El Maadi ",Apartments,3,1,135 ,3,2021,Semi Finished,Side Street,"1,012,500"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,215 ,3,2030,Semi Finished,Main Street,"1,577,000"
الشطر السادس - شارع الزهراء الرئيسى,Apartments,3,2,210 ,7,2008,Super lux,Main Street,"1,850,000"
زهراء المعادي/الشطر السادس,Apartments,3,2,195 ,3,2010,Super lux,,"1,900,000"
"Tenth Neighborhood, Zahraa El Maadi",Stores,,,190 ,Extra super lux,Side Street,,,"4,750,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,215 ,3,2030,Semi Finished,Main Street,"1,577,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,2,1,95 ,4,2021,Semi Finished,Side Street,"712,500"
"First Neighborhood, Zahraa El Maadi",Apartments,2,2,121 ,7,2024,Semi Finished,Main Street,"992,200"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,2,126 ,8,2030,Super lux,Main Street,"890,000"
"Seventh Neighborhood, Zahraa El Maadi",Apartments ,3,2,180 ,8,2019,Super lux,Main Street,"1,800,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,2,2,180 ,1,2019,Semi Finished,Main Street,"1,800,000"
"Seventh Neighborhood, Zahraa El Maadi",Apartments,3,3,184 ,8,2020,Extra super lux,Main Street,"1,729,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,135 ,4,2021,Semi Finished,Side Street,"1,012,500"
"First Neighborhood, Zahraa El Maadi",Apartments,2,2,100 ,4,2021,Semi Finished,Garden,"900,000"
"Seventh Neighborhood, Zahraa El Maadi",Apartments,3,2,180 ,9,2017,Extra super lux,Main Street,"2,250,000"
"Thirteenth Neighborhood, Zahraa El Maadi",Stores,,,210 ,Super lux,Main Street,,,"5,500,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,3,201 ,1,2020,Extra super lux,Corner,"2,200,000"
"Eighth Neighborhood, Zahraa El Maadi",Duplex,3,2,240 ,2018,Semi Finished,Garden,,"3,600,000"
زهراء المعادي/الشطر السادس,Apartments,3,2,195 ,8,2010,Super lux,Main Street,"1,700,000"
دجلة الجديدة-زهراء المعاد-القاهرة,Apartments,2,1,117 ,5,2019,Semi Finished,Side Street,"950,000"
"El Merag El Elwy, Zahraa El Maadi",Apartments,3,2,280 ,2,2030,Super lux,Side Street,"3,800,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,185 ,4,2030,Super lux,Main Street,"1,500,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,185 ,4,2030,Semi Finished,Main Street,"1,480,000"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,155 ,2,2021,Semi Finished,Side Street,"1,162,500"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,90 ,4,2023,Semi Finished,Main Street,"855,000"
"Sixth Neighborhood, Zahraa El Maadi",Apartments,3,3,220 ,6,2002,Extra super lux,Garden,"2,800,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,94 ,3,2023,Semi Finished,Main Street,"893,000"
"Jodran, Compounds in Maadi",Apartments,3,2,129 ,4,2023,Semi Finished,Main Street,"1,221,700"
"Jodran, Compounds in Maadi",Apartments,3,2,131 ,1,2023,Semi Finished,Main Street,"1,474,650"
"Zahraa El Maadi St, Zahraa El Maadi",Apartments,2,2,155 ,8,2021,Super lux,Side Street,"1,500,000"
"Jodran, Compounds in Maadi",Apartments,3,2,133 ,1,2023,Semi Finished,Main Street,"1,501,770"
"Tenth Neighborhood, Zahraa El Maadi",Apartments,3,2,140 ,1,2020,Extra super lux,Main Street,"1,260,000"
Zahraa Maadi,Apartments,3,2,102 ,2,2023,Semi Finished,Main Street,"1,020,000"
Zahraa Maadi,Apartments,3,2,130 ,2,2023,Semi Finished,Main Street,"1,300,000"
"Corniche St, El Merag City",Apartments,3,2,175 ,1,2015,Semi Finished,Corner,"1,200,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,91 ,5,2023,Semi Finished,Main Street,"869,250"
"Jodran, Compounds in Maadi",Apartments,2,1,102 ,2,2023,Semi Finished,Main Street,"971,850"
"Thirteenth Neighborhood, Zahraa El Maadi",Duplex,4,3,280 ,5,2016,Super lux,Main Street,"2,350,000"
Zahraa Maadi,Apartments,3,2,109 ,3,2023,Semi Finished,Main Street,"1,090,000"
"Autostrad, El Maadi",Apartments,3,2,154 ,5,2019,Without Finish,Main Street,"1,694,000"
"Second Neighborhood, Zahraa El Maadi",Apartments,2,1,96 ,5,2023,Semi Finished,Main Street,"915,800"
"Autostrad, El Maadi",Apartments,3,2,153 ,2,2019,Without Finish,Main Street,"1,530,000"
"Togary St, Second Neighborhood",Apartments,2,2,125 ,3,2000,Super lux,Side Street,"950,000"
